id_swiped,action

212748662,left
402534869,right
172076585,right
571651372,right
146511196,left
181292266,right
138159385,right
31151835,right
53136252,right
49559930,left
54078497,left
3600569,right
19149943,right
39801085,right
47046434,right
217814829,right
347218636,right
89316794,right
70458067,right
143868142,left
167986094,left
134610243,right
176473856,right
105671556,left
224545344,left
333229238,left
85294985,right
134721862,left
230074124,left
140615976,left
144746300,left
22380584,left
13367613,right
226369089,left
169591543,left
102682953,right
198426130,right
28310012,right
494195961,left
34199400,left
17050058,left
145784621,right
19024844,left
116994721,left
519565220,left
6380879,left
22463310,left
134266322,left
12575284,right
134266322,right
214879651,left
252046886,left
364553037,right
156205273,left
178678369,right
146843377,right
166739087,left
41036600,left
211515402,left
314145237,left
147061111,right
84976548,left
141799637,left
121202747,left
21088241,left
156626668,left
31185918,right
119600942,left
150537724,right
168550320,left
26466555,left
83878159,left
287198461,left
40138005,left
76213730,left
119575260,right
61577342,left
153591618,left
152277497,right
346708643,right
150913468,left
184540636,left
72590001,right
35783372,left
27253754,left
11818722,left
117654917,right
55041195,left
316200483,left
174482891,left
91866544,right
159848323,left
222575570,left
30312256,left
136281800,right
145335646,left
265345035,left
92876091,right
63114267,right
115023403,left
69619917,right
101945657,right
251227312,right
211997672,left
94014293,right
321482241,left
133547912,right
240498080,right
471806684,left
70624141,right
163234393,right
61163882,left
170735459,right
19048029,left
559371702,right
873145,left
148146814,left
182826061,left
83349105,left
232909933,left
371213809,left
60685214,left
9348223,left
245098783,left
122529018,left
252715520,left
244262330,left
77462309,left
5113866,left
200376539,left
328927633,left
367244648,left
293759223,left
